step,standard_x,noetics_x,effective_dimension,geometric_alignment
0,0.1,0.1,0.0,0.0
1,0.341718009850318,0.10032320226780511,1.0,0.21835694995173016
2,0.8584867025547303,0.10109426131741359,1.0,0.17286090209115973
3,0.5117898743692398,0.10239112691003324,1.0,0.16102109702437148
4,0.8799467139442549,0.10465454252757564,1.0,0.18419636897784572
5,0.3547541153535209,0.10807875909064907,1.0,0.2413404914616794
6,0.8947551914675794,0.11284609370924924,1.0,0.33376975141044163
7,0.41154344216094624,0.11958910701903964,1.0,0.4693156440100716
8,0.9175196806405566,0.12928161705544272,1.0,0.6625351402539815
9,0.24677283278471182,0.14339401717944691,1.0,0.9356882730607878
10,0.72246272197292,0.16302762700394974,1.0,1.312421808960114
11,0.8750244354019182,0.19047176783300762,1.0,1.8256901523477123
12,0.40147796615480075,0.22779090974982072,1.0,2.50299255254528
13,0.8891563946396714,0.27840519698267807,1.0,3.375399153839065
14,0.35326685846465705,0.3445302301515652,1.0,4.4358568002702885
15,0.9057748689859374,0.42840923408174664,1.0,5.64254905950668
16,0.2918891692359096,0.5279676731257386,1.0,6.8495100095464165
17,0.8174494312663462,0.6411110907803694,1.0,7.894210983409893
18,0.4765658330313864,0.7587662927235954,1.0,8.519503769473003
19,0.912791646945125,0.8686525065187523,1.0,8.55366212702835
20,0.3802924833224715,0.9596835990556897,1.0,8.021816599528062
21,0.9779093208653007,1.0,1.0,7.131145320463718
22,0.12806659420000188,1.0,1.0,6.73741742126293
23,0.446579580017333,1.0,1.0,7.034648110136374
24,0.9796556064183096,1.0,1.0,7.315647282017937
25,0.13108784314498473,1.0,1.0,7.59185777735068
26,0.42146911582676877,1.0,1.0,7.859019339206568
27,0.9708666365392983,1.0,1.0,8.12640716960075
28,0.12088526845560386,1.0,1.0,8.38635436412106
29,0.3818270977538202,1.0,1.0,8.639180550699951
30,0.9202822172877114,1.0,1.0,8.869194024904685
31,0.30143192540288877,1.0,1.0,9.10468707350982
32,0.761863475169728,1.0,1.0,9.331066697542914
33,0.6991234535580304,1.0,1.0,9.539282228423884
34,0.796032906764554,1.0,1.0,9.770636305285398
35,0.6332823991151157,1.0,1.0,10.010349148587673
36,0.8364582223100729,1.0,1.0,10.22522402906846
37,0.5460014146280722,1.0,1.0,10.398891586104803
38,0.9496293808936465,1.0,1.0,10.598119091354652
39,0.18873813031573705,1.0,1.0,10.78612483344143
40,0.6294664591212947,1.0,1.0,10.961102129569133
41,0.8620676637685667,1.0,1.0,11.155833298552835
42,0.45634110473180906,1.0,1.0,11.314424595261315
43,0.9248019153781766,1.0,1.0,11.49871799743563
44,0.3133255218176274,1.0,1.0,11.655277912193696
45,0.8592257267151174,1.0,1.0,11.82140343597309
46,0.4326678456491679,1.0,1.0,11.973200153351035
47,0.914733054946395,1.0,1.0,12.144945748480684
48,0.32462757888859717,1.0,1.0,12.28539840016425
49,0.8309486341991024,1.0,1.0,12.434178346335443
50,0.5138876187175714,1.0,1.0,12.58812853851708
51,0.8581924358999228,1.0,1.0,12.726940273619173
52,0.4318888195862762,1.0,1.0,12.86003524309102
53,0.8914922859996787,1.0,1.0,12.981963545685613
54,0.35977830002205957,1.0,1.0,13.100512370104283
55,0.8541651155082155,1.0,1.0,13.238946202161827
56,0.43586589966154865,1.0,1.0,13.358918236345666
57,0.9177180478598144,1.0,1.0,13.485851528429606
58,0.22765995904803063,1.0,1.0,13.60575308491872
59,0.6241020426916086,1.0,1.0,13.686955419745878
60,0.8569409851876828,1.0,1.0,13.765490302022085
61,0.42752815753836415,1.0,1.0,13.88432572511216
62,0.90371039833326,1.0,1.0,13.98333504377
